v1;v2
0;εχω το κινητο αυτο εδω και 10 μερες και εχει μεγαλο θεμα με την μπαταρια του με απειροελαχιστη χρηση ξεφορτιζει κατευθειαν και θελει φορτιση καθε μερα
0;μην το αγορασετε παιδια χαλια κινητο καταρχας χαλασε αμεσως μετα την εγγυηση το στειλαμε στην mls και μετα απο 3 εβδομαδες μας ειπαν πως θελουνε 55 ευρω για να το επισκευασουν η αλλιως 10 ευρω για τον ελεγχο πολυ κακως που εμπιστευτηκα την mls μην κανετε το ιδιο λαθος
0;οτι χειροτερο εχω δει ποτε το τηλ δεν υποστιριζει ουτε το software των επαφων δεν αξιζει και κατω να το βρεις
0;το κινητο βρισκεται αναμεσα στη κατηγορια των απλων κινητων και των Smart και δεν τα καταφερνει καλα σε καμια κατηγορια
0;το κινητο ειναι οτι χειροτερο εχει περασει απο τα χερια μου 
0;η μπαταρια ειναι για τα σκουπιδια 
0;δεν υπαρχει τιποτα καλο πανω του ακομα και η γιαγια δε το ηθελε χωρις πλακα lol με το ζορι οι κλησεις ενα nokia του 1985 θα ηταν πιο χρησιμο για να μην κολλαει σαν παλαβο πρεπει να αφησεις το πολυ 1 διεργασια στο backround θα επρεπε να κοστιζει 20 ευρω οχι 80
0;οτι χειροτερο εχω παρει
0;η αντιπροσωπεια της mls καλο θα ηταν να ειχε αποσυρει το συγκεκριμενο κινητο απο την αγορα αν ηθελε να προστατεψει τους καταναλωτες το κινητο πρωτα απ ολα πρεπει να ειναι μονιμως στο φορτιστη και η οθονη μετα απο μερικες μερες χρησης μαυρισε εσωτερικα παρουσιαζοντας και ενα εσωτερικο ραγισμα απο το πουθενα κριμα για τα πεταμενα λεφτα
0;καταρχην το ειχα παρει τον σεμπτεμβρη του 2016 και τον χειμωνα του 2018 το κινητο ηταν σχεδον αχρηστο η μπαταρια ειχε βαρεσει μπιελα με αποτελεσμα να ειναι στα 80 και σε 3 λεπτα επεφτε γρηγορα στα 8 ουσιαστικα εκαιγα τζαμπα ρευμα για να το φορτιζω και τωρα η μπαταρια του τηλεφωνου εχει φουσκωσει για τα καλα δεν το χρησιμοποιω πλεον εχω αλλο κινητο
0;το κινητο αυτο αφου το πηρα μεσα σε τρεις μερες αρχισε να σαλευει αρχικα εβγαζε παρασιτα η οθονη και αργοτερα ανοιγοκλεινε εφαρμογες μονο του νομιζα οτι κατι του ειχα κανει η μπαταρια χαλι μαυρο καμια αντοχη το φορτιζα 2 φορες μεσα στην μερα και οι μονες ωρες ηρεμιας ηταν οταν χαζευα λιγο στο fb σε μια βδομαδα τα παιξε και τα παρασιτα εξαπλωθηκαν σε ολη την οθονη να μην βλεπω τιποτα το πηγα για επισκευη και θεωρησαν οτι εγω καπου το πιεσα η μου επεσε ενω αυτο ειχε χαζεψει απ την αρχη δεν με καλυψε καμια εγγυηση και στο τελος το εβαλα στην συλλογη με τις παλιες μου μπακατελες δεν το προτεινω σε καποιον αυτο το κινητο ειναι πολυ κακο και μοχθηρο στα λεφτα του υπαρχουν πολυ καλυτερα και πιο αξιοπιστα smartphone αλλα αυτο πεταμενα λεφτα
0;μετα απο 20 ημερες χρηση αρχισε να μην διαβαζει την σιμ και στο τελος να μην την αναγνωριζει καθολου το εστειλα στην αντιπροσωπεια και με ενημερωσαν οτι το προβλημα το ειχα προξενησει εγω απο κακη χρηση που ουδεποτε συνεβη γενικα πολυ ψευτικο και χαλια αντιμετωπιση απο την αντιπροσωπεια στο τομεα της εγγυησης δεν το συνιστω με τιποτα υπαρχουν πολυ καλυτερα κινητα σε αυτα τα λεφτα
0;το κινητο το εχω εναν χρονο περιπου απο τον πρωτο κιολας μηνα χαλασε η μπαταρια επειτα η αναλυση των φωτογραφιων ειναι αλεσμα δεν αξιζει τα λεφτα το ομως υπαρχει ενα θετικο μου εχει πεσει τοσες φορες κατω και η οθονη δεν εχει παθει σχεδον τιποτα
0;το κινητο αυτο ειναι αθλιο δεν αξιζει τα λεφτα του χαλια μπροστινη καμερα μπαταρια που κραταει λιγο αργει αρκετα να ανοιξει τις εφαρμογες κολλαει παρα πολυ το εχω στειλει 3 φορες για servise και μετα απο κανα δυο ωρες αφου το παρελαβα εκανε τα ιδια δεν αξιζει να το παρετε υπαρχουν με 100 ευρω πολυ καλυτερα κινητα
0;το κινητο το εχω πριπου ενα χρονο οταν παω να γραψω κατι αλλο παταω και αλλο πατιεται απο καμερα δεν αξιζει τιποτα το ηχειο τρεμοπαιζει και η αναλυση καμερας και οθονης ειναι χαλια θα σας ελεγα να μην το παρετε γιατι με 100 ευρω που κανει θα μπορουσα να παρω ενα πολυ καλο κινητο
0;το δικο μου σε 35 μερες το εσπασα με ενα σφυρι για να μην βλεπω και να μην ακουω και απο περιεργεια για να μαθω τι θα κανει
0;εχω το κινητο 1μιση χρονο η χειροτερη αγορα που εχω κανει πολυ κακη αναλυση βιντεο φωτογραφιας κολλαει συνεχως κλεινει μονο του πολυ μικρος χωρος οταν με παιρνει καποιος τηλεφωνο πρωτα ακουγετα ο ηχος και μετα απο 5 δευτερολεπτα εμφανιζεται μονο ο αριθμος και οχι το ονομα της επαφης επισης μεσα σε 9 μηνες χρειαστηκε service γιατι ξαφνικα εκλεισε μια μερα και δεν ανοιγε ευτυχως ειχα εγγυηση για 1 χρονο
0;ειχα αυτο το κινητο ενα χρονο λογικα απαγορευονται οι καταρες οι βρισιες και η προβολη βιας μεσα απο τις αξιολογησεις γι αυτο θα πω μονο πως μεγαλυτερο τεχνολογικο εκτρωμα δεν εχει περασει απο τα χερια μου οσο ζω αυτο το κινητο δεν μπορουσε να κανει τιποτα σωστα και χωρις να κολλαει ασυστολα χρειαζομαι 30 λεπτο βιντεο για να αποτυπωσω τι εχω περασει με αυτο το σιχαμα δεν μαρεσει πολυ το δραμα γι αυτο απλος θα προσθεσω πως το ειχα κανει φορματ μια φορα και δεν αλλαξε τιποτα και αρχιζα σοβαρα να αναρωτιεμαι αν απλος ημουν ατυχος και ετυχα προβληματικο μοντελο αλλα επιβεβαιωθηκα απο τις υπολοιπες κριτικες
0;εκτος του οτι το κινητο δεν ειναι καθολου καλο καθως απο τις πρωτες μερες που το αγορασα εσβηνε απο μονο του μετα απο λιγες μερες εσβησε τελειως το πηγα στον αντιπροσωπο ο οποιος το εστειλε στην εταιρεια μετα απο 1 μηνα και μου απαντησαν οτι το κινητο εχει υποστει οξυδωση και οτι το προκαλεσα εγω και δεν φτανει αυτο μου λενε οτι θελουν 70 ευρω για να το φτιαξουν και 10 για να μου το στειλουν ενω το πηρα 89 δηλαδη μας κοροιδευει τελειως αυτη η εταιρεια
0;κακη επιλογη χαλια καμερα μπαταρια εξαντλειται στη μιση μερα με ελαχιστη χρηση και κλεινει μονο του χωρις λογο
0;απλα λυπαμαι τα λεφτα μου η μπαταρια εξαντλειται με εξευτελιστικα γρηγορο ρυθμο απενεργοποιειται μονο του οταν ανοιγω το instagram κολλησε απο την πρωτη μερα που το πηρα και τελος η καμερα του μπροστινη και πισω ειναι επιεικως κακη δεν το συνιστω
0;οπου βλεπετε μλσ τρεχατε μακρια
0;η χειροτερη επιλογη κινητου που εκανα ποτε θα αξιζε μονο αν ειχα δωσει το πολυ 100 ευρο
0;αθλια συσκευη κολλαει κολλαει κολλαει αν εισαι στο ιντερνετ και σε καλεσουν δεν θα τους απαντησεις ποτε γιατι κολλαει η οθονη αν προσπαθησεις να παιξεις ενα παιχνιδι μετα απο λιγο κολλαει και κανει μονο του επανεκκινηση οποιος θελει να πεταξει 100 ευρω να το αγορασει
0;ειναι το χειροτερο τηλεφωνο που εχω πιασει στα χερια μου μακραν αργει απιστευτα να κανει και τα πιο απλα πραγματα αρκετες φορες δεν υπακουει καν στις κινησεις των δακτυλων ενω αλλες φορες παλι δειχνει οτι δεν υπακουει αλλα μαζευει ολες τις κινησεις και τις εκτελει ολες μαζι ξαφνικα και τρελαινεσαι κολλαει ασταματητα και για να μην πολυλογω το μονο πραγμα που κανει σχετικα γρηγορα ειναι να κλεινει χρειαζεται 3 4 λεπτα να ξεκινησει και η κατασταση χειροτερευει καθετα μολις ανοιξει το wifi εαν δε εγκατασταθει και Facebook χρειαζεται να γινεις γκουρου στο θιβετ για να μην το πεταξεις στον τοιχο απ τα νευρα σου ουτε γι αστειο μην το πλησιαζετε
0;απαραδεκτο δεν μπορεις ουτε κληση να κανεις χωρις να κολλαει ουτε μια φωτογραφια να δεις σαν ανθρωπος για σερφαρισμα δεν το συζηταω ουτε την αρχικη σελιδα του google δεν μπορει να ανοιξει χωρις να σου σπασουν τα νευρα στην αρχη νομιζα οτι ειναι ελαττωματικη η συσκευη και το εστειλα στο τεχνικο τμημα της MLS του κανανε προγραμματισμο flash ετσι μου ειπαν αλλα δεν υπηρχε καμια βελτιωση την τελευταια φορα που κολλησε και προσπαθησα να κανω επανεκκινηση εκανε χρονομετρημενα τεσσερα ολοκληρα λεπτα να ανοιξει δεν εχω πολλες απαιτησεις απο ενα κινητο των 100 00 € αλλα αυτο δεν αξιζει ουτε 10 00€ με αυτο το κινητο θα επρεπε να μας πληρωνει η εταιρια για ψυχικη οδυνη πεταμα χρηματων
0;αθλιο κολλαει συνεχως ακομη κι οταν δεχομαι κλησεις με το τηλεφωνο σε κατασταση αδρανειας καθως δυσκολευομαι να το ξεκλειδωσω και η μπαταρια σωνεται με το παραμικρο για σερφαρισμα καλυτερα να μην πω ντροπη σε αυτη την εταιρεια που λανσαρει τετοια μοντελα με ακρως παραπειστικη περιγραφη προιοντος αισθανομαι εξαπατημενος και φυσικα ενα τετοιο ακρως μη λειτουργικο τηλεφωνο το αντικατεστησα παραυτα αγοραζοντας δευτερη συσκευη με τοσα χρηματα αθροιστικως επαιρνα ενα ακριβο μοντελο τι να πει κανεις
0;στις πρωτες 5 ημερες εσπασε η οθονη μου ειπαν στο σερβις χωρις παντως εγω να το χτυπησω το πληρωσα αλλα 35 ευρω διοτι λεει δεν εχει εγγυηση ποτε ξανα νοκια
0;εβαλα ενα αστερακι επειδη δεν ειχε μισο το αγορασα πριν δυο μερες κ μακαρι να μπορουσα να το επιστρεψω δεν συνδεεται με την nokia pc suite κ δεν εχει κανενα τροπο να μεταφερεις πολλες επαφες εχω ενα πολυ παλιο κινητο nokia κ ειναι πολυ πιο ευελικτο πρακτικο κ αξιοπιστο απο αυτο το μενου επισης αθλιο κ φτωχο δεν το συστηνω
0;σταματαει συχνα μακρια
0;μετα απο 3 μηνες χρησης κλεινει απο μονο του ξαφνικα οποτε του καπνισει απαραδεκτο
0;δυστυχως ο τι χειροτερο εχω αγορασει ποτε
0;με σχεδον τριων μηνων χρηση και η μπαταρια πεφτει αμεσως επισης το συνδεεις στη φορτιση και η μπαταρια μειωνεται να προσθεσω οτι κολλαει απιστευτα Viber what s app browser σερνεται μη το παρετε θα κλαιτε τα λεφτα σας
0;οτι χειροτερο αυτο το κινητο θα σας συνιστουσα να μην το παρετε βγαζει θολες φωτογραφιες με το ηχειο του ειναι παρα πολυ κακο μια φορα που πηγα να το φορτισω μου ελεγε σε 2 μερες θα ειναι ετοιμο και επαιρνε πολλες ωρες να φορτισει και δεν κρατουσε και η μπαταρια του οταν πηγαινα να μπω σε εφαρμογες με πετουσε εξω ειναι τοσο χαλια το μοντελο που δεν εβρισκεις καν θηκη να παρεις και τα ακουστικα που ειχε μεσα χαλασαν και μια μερα που μου επεσε ο ανταπτορας του φορτιστη κατω δεν ξανα φορτισε
0;το κινητο ειναι πολυ μετριο η καμερα ειναι απο τις χειροτερες που υπαρχουν για 100€ και η μπαταρια τελειωνει γρηγορα
0;η χρηση του μερικες φορες γινετε αδυνατη καθως το κινητο κολλαει παρα πολυ και αρκετες φορες κανει restart απο μονο του και κλινει ενω εχει 100 μπαταρια εγω προσωπικα δεν θα το προτεινα σε κανεναν επειδη υπαρχουν πολυ πιο καλα κινητα με λιγο μεγαλυτερη τιμη
0;κολλαει και σερνεται ολοκληρη η συσκευη ειδικοτερα το πληκτρολογια το wifi και εφαρμογες καθυστερουν υπερβολικα να ανοιξουν και να ανταποκριθουν με λιγα λογια ψαξτε για αλλο κινητο
0;μπακατελα το εχω και κολα σαν τον διαολο
0;παρολο που εχει ικανοποιητικο επεξεργαστη και μνημη η οθονη του ειναι χαλια Έχει πολυ μικρη γωνια θεασης οπου σε οριζοντια διαταξη ειναι σχεδον μηδενικη πολυ κακη ποιοτητα χρωματων και εικονας ανετα βγαζεις τα ματια σου με συχνη χρηση μην το παρετε πεταμενα λεφτα
0;απο την πρωτη ημερα κανει επανεκκινησεις χωρις λογο σε ασχετες στιγμες επισης το φλας δεν συντονιζεται με την καμερα με αποτελεσμα πρωτα να κλεινει το φλας και μετα να βγαινει η φωτο με αποτελεσμα να βγαινει σκοτεινη
0;μακρια απ το συγκεκριμενο κινητο η οθονη του βγηκε off σε ενα μηνα ενω το προσεχα με στοργη και proderm η καμερα ειναι μετρια ακομα και την ημερα με καλο φωτισμο + ζεσταινετε υπερβολικα και πεφτει η αποδοση του οπως και η μπαταρια του
0;το αγορασα 8 ιανουαριου και το πηγα στο servis μετα απο μια δυο μερες γιατι δεν ακουγοτανε τιποτα το παρελαβα μετα απο 2 μηνες γιατι χρειαστηκε να ξαναπαει εκτοτε η μπαταρια θελει φορτισει 2 3 φορες την ημερα οι φωτογραφιες ειναι τραγικες και ανεβαζει θερμοκρασια παρα πολυ ευκολα χωρις να το ζοριζω ιδιαιτερα μην το παρετε ειναι 6 αυγουστου και αναγκαστικα να παρω καινουργιο κινητο αλλη μαρκα φυσικα η εταιρια οταν την επαιρνα τηλεφωνο και της ελεγα μα παλι με προβλημα μου το δωσατε μου λεγανε οτι ετσι βγαινει απο το εργοστασιο
0;αρχικα μου εκανε συνεχη εναλαγες τις καρτες sim οταν πηρα τηλεφωνο την mls μου ειπανε να κανω επαναφορα εργοστασιακων ρυθμισεων και οτι αν εβαλα καποιο προγραμμα για ιους να το εβγαζα καθε τρεις και λιγο κανω επαναφορα
0;το ηχειο που εχει δεν ακουγεται καθολου η μπαταρια δεν κραταει καθολου ξαφνικα κλεινη ακομα και φορτισμενο η χειροτερη μου επιλογη σε συσκευη
0;το εχω 5 μηνες και στραβωσε οπως τα samsung ετσι στα ξαφνικα και το δεν μου το αντικαταστουν ειναι ψευτες για το θεμα της εγγυησης και απαραδεκτοι
0;τραγελαφικο πολυ κριμα για την ελληνικη εταιρεια δεν προσφερει τιποτε δεν ειναι ακριβης η αποστολη μηνυματων με τη χρηση φωνης εχει απαραδεκτη καμερα εχει ντροπιαστικα specs πραγματικα ειναι αστειο αστειο μια εταιρια να βγαζει στην αγορα τετοιες συσκευες ειναι σαν προϊον telemarketing μακρια οτι χειροτερο εχω δοκιμασει μακρια
0;στο site της εταιρειας που αγορασα το κινητο ενω αρχικα εγραφε 2 χρονια εγγυηση αυτο δεν ισχυσε ποτε και εξηγουμαι το τηλεφωνο μετα απο 13 μηνες παρουσιασε προβλημα στο μικροφωνο και ενω επικοινωνησα με προμηθευτη και με μεταπωλητη καταληξαμε στο συμπερασμα οτι η βλαβη δεν καλυπτεται και για την επισκευη χρειαζονται 60€ εγγυηση 1 ετος για συσκευη που δεν εχει τιποτα ιδιαιτερο να επιδειξει και μου στοιχησε 110€ δεν εχω μεινει καθολου ικανοποιημενος ουτε απο την MLS για τις υπηρεσιες που δεν μου παρειχε και ας ειναι ελληνικη εταιρεια αλλα ουτε και απο τον μεταπωλητη ο οποιος αναγραφει στο site του παραπλανητικες πληροφοριες αν μπορουσα μειον 1 αστερι θα εβαζα
0;μπλοκαρει και δεν ειναι καθολου λειτουργικο δεν θα το συνιστουσα για κανενα λογο για ηλικιωμενο που μπορει να βρεθει σε κινδυνο και να χρειαστει αμεση επικοινωνια λυπαμαι γιατι ειναι ελληνικο
0;απαραδεκτο το αλλαξα 3 φορες το πρωτο δεν καλουσε οταν το καλουσες εδειχνε κλειστο και οταν θυμοτανε μετα απο ωρες εβγαζε μηνυμα ειχατε κληση το αυτονομια λιγοτερο απο 24ωρο με bt gps internet τα παντα κλειστα μονο με ελαχιστες κλησεις
0;θα βαζα κ 0 αστερια αν γινοταν μαπα μπαχατελα σκετη τη πηρε η μανα μου γιατι δεν μπορει να συνηθισει τα αφης κ της βγηκε το ματι 110 ευρω για 240p η ποσο ειναι η οθονη μαπα 1000μhz επεξεργαστη κ 1GB ραμ κ οι καμερες πιο μαπα κ απο νοκια του 90?? με ευχαριστηση μου να βοηθησω μια ελληνικη εταιρια κινητων αλλα οταν με λιγο ψαξιμο βρισκεις κ με ενα 50αρι ευρω παραπανω κινητο ετη φωτος μπροστα απο αυτο κ συγκρινεται με ναυαρχιδες οπως S6 η κανα α5 απο Samsung μιλαω για κινητα οπως το Huawei P8 Lite που εγω το πηρα στα 149 ευρω 40 ευρω δηλαδη ακριβοτερο απο αυτο εδω με οκταπυρηνο επεξεργαστη σφαιρα μεγαλη οθονη 5 με ωραια χρωματα κ αναλυση συν τις καμερες 13 κ 5mp
0;δεν αξιζει μια
0;πολυ ακριβα ανταλλακτικα η οθονη κοστιζει οσο ξαναγορασεις το κινητο δεν ξαναγοραζω αυτη την εταιρεια ποτε
0;απαραδεκτο service μου ζητησαν 125 ευρω για να αλλαξω την οθονη του δεν υπαρχει περιπτωση να ξαναγορασω mls για τα τοσο ακριβα ανταλλακτικα
0;τελειωνει γρυγορα η μπαταρια του το εχω αλλαξει για την μπαταρια του κραταει λιγο περισσοτερο 11 ωρες χωρις πολυ χρηση στο wi fi το ιδιο και το δευτερο που πειρα
0;λοιπον αυτο το κινητο το ειχα για 1 περιπου χρονο μου σπαγε τα νευρα ειναι αργο ειδικα στο youtube και σαν να μην εφτανε αυτο μου εκανε το βιντεο φουξια πρασινο για κλησεις ειναι καλο για φωτογραφιες και βιντεο αστο καλυτερα οταν μιλαγα στο μεσεντζερ με εκανε ασπρομαυρο εβαλα 1 γιατι ειναι οτι χειροτερο επισης η μνημη ειναι για τα μπαζα μην σκεφτειτε ποτε να το αγορασετε
0;το κινητο το εχω περιπου ενα χρονο μετα απο 3 μηνες αρχισε να κολλαει απιστευτα ασε που χρειαζεται να φορτιζεις την μπαταρια δυο φορες την ημερα ειδικα αν ανοιξεις τα δεδομενα πεταμενα λεφτα
0;χρειαζεται να το φορτιζω καθε μερα καποιες φορες και δυο η μπαταρια ειναι αστα να πανε κολλαει απιστευτα και το προβλημα δεν λυθηκε ουτε οταν πηρα sd card 16 gb βλεπω βιντεο αρχιζει να κολλαει το κλεινω απο τα νευρα και το βιντεο συνεχιζει να ακουγεται για περιπου 15 20 δευτερολεπτα η ποιοτητα φωτο βιντεο παλευεται ειναι 420p γενικα μην το παρετε θα χαραμισετε τα λεφτα σας ειναι το χειροτερο κινητο που ειχα ποτε
0;παιδια μην δοκιμασετε καν το χειροτερο κινητο που ειχα ποτε
0;ειναι αθλιο το εχει ενας φιλος μου την πρωτη εβδομαδα χαλασε πηγαμε να το φτιαξουμε και ειπαν πως εφταιγε η οθονη μου το εφτιαξαν αλλα 3 εβδομαδες μετα επαθε παλι το ιδιο προβλημα το πεταξε και πηρε ενα Samsung γενικα τα MLS ειναι τραγικα
0;φιασκο μενω αθηνα κεντρο δεν πιανει σημα μεσα στο σπιτι πρεπει να βγεις εξω 500 μετρα για να πιασει ολα τα αλλα κινητα με ιδιο παροχο πιανουν 4 μπαρες σηματος στον ιδιο χωρο τα υπολοιπα χαλια του τα γραφουν τα υπολοιπα κοροιδα πριν απο εμενα αντε και του χρονου
0;χαλι μαυρο μετα απο μερικους μηνες εντονης χρησης καταληγει στο καλαθι των αχρηστων ακραια κοροιδια
0;αν διαβαζεις την αξιολογιση πραγματικα μην παρεις κανενα mls εγω μπηκα ειδα καλες κριτικες εκανα λαθος συγουρα ποτε ξανα mls ντροπη 260 εγω τοτε που βγηκε ουτε 100 δεν αξιζει
0;απλα αθλιο πεταξα 175€ το δακτυλικο αποτυπωμα δεν δουλευει η οθονη αναβει μονη της ακομα και οταν ειναι εκτος δικτυου αρα δεν δεχεται ειδοποιησεις ενω εχω επιλεξει να στελνει τα μηνυματα αποκλειστικα απο τη μια καρτα αυτο επιμενει να τα στελνει απο την αλλη στο σερβις που τους τηλεφωνησα για το προβλημα μου ειπαν πως ειναι ετσι σχεδιασμενο για να με διευκολυνει προφανως και δεν δουλευουν οι φωνητικες εντολες γενικα δεν το συνιστω ευτυχως προλαβα προχθες και εσωσα μια φιλη μου την ωρα που πηγαινε στο ταμειο αν σας περισσευουν 200€ δωστε τα στους αστεγους κριμα γιατι ενας απο τους λογους που το αγορασα ειναι πως ηταν ελληνικο ντροπη τους
0;πιο αχρηστο κινητο δε πηρα ποτε μου εκλαψα τα λεφτα μου το πηρα 200 ευρω σε προσφορα απο 280 κολλαει απιστευτα σε πεταει εξω ολη την ωρα το ραδιο οποτε θελει παιζει σελφι αστα να να πανε δεν κραταει καποιες ρυθμισεις και πολλα αλλα τιποτα ενα αχρηστο πραγμα δεν ξανα περνω MLS στη ζωη μου δωρο να μου το δινουν
0;σε σχεση με xiaomi redmi 4a που ειναι η τρεχουσα συσκευη μου το xiaomi ειναι καλυτερο σε ολα απορω γιατι ειναι τοσο ακριβο επεξεργαστης ουτε καν 4 πυρηνος δεν τρεχει γρηγορα καθολου η καμερα ενα lg που ειχα με 2 mp κυρια καμερα εβγαζε πολυ καλυτερες φωτογραφιες 13 και 16 Mp ουτε για αστειο δαχτυλικο αποτυπωμα καθολου ευχρηστο δεν το αναγνωριζει καν και αν την πατησεις το κινητο παει για πεταμα εμεις το πηγαμε στην MLS για να το ξεκλειδωσει και η διαδικασια πηρε 1+ μηνα και το χειροτερο δεν το καλυπτε η εγγυηση επειδη το κινητο ειναι ακριβο δεν σημαινει οτι ειναι και καλο μην την πατησετε και το αγορασετε
0;το χειροτερο κινητο ever 
0;το κινητο το εχω ουτε 1 μηνα το αγορασα 280€ κολλαει πολυ χαλια καμερα με πεταει απο εφαρμογες δεν αναγνωριζει αποτυπωμα καποιες φορες δεν ακουγεται ηχος απο τα ηχεια και χρειαζεται επανεκκινηση δεν το συνιστω
0;υπαρχουν πολυ καλυτερες επιλογες σε αυτα τα χρηματα δε θα το προτεινα
0;οτι χειροτερο εχω χρησιμοποιησει
0;σκουπιδι μην πεταξετε τα λεφτα σας αχρηστο κοροϊδια
0;δεν καταφεραμε να κατεβασουμε καν την αναβαθμιση λογισμικου κατα το boot 2 ωρες μας εκανε crash το MLS Updater καλυτερα να εδινα τα λεφτα να μου να επαιρνα XIAOMI
0;το αγορασα 119 90€ ειναι αθλιο στις κλησεις και η maic ειναι αθλια αλλα της λες αλλα γραφει μονο το service αξιζει
0;το βυσμα του φορτιστη χαλασε σε 8 μηνες το πηγα για σερβις μου ζητανε 10€ για να το δουν κ το κοστος του ανταλλακτικων εναι εξτρα ενω ειναι ακομα στην εγγυηση
0;μια εβδομαδα το εχω μαλλον πεταμενα χρηματα κολλαει την επιστροφη δεν ακουγεται καλα σε κανα μηνα θα θελω αλλο επανερχομαι μετα απο ενα μηνα κολλαει ανα δεκαλεπτο αχρηστο τελειως μακρια απο mls τελος
0;πεταμενα λεφτα κριμα
0;μακρια μακρια χαλια σερβις με το ετσι θελω σε πετανε εκτος εγγυησης το ταμπλετ σε 20 μερες δεν φορτιζει και χρεωνουν 35 ευρω το φισακι κριμα που ηθελα να υποστηριξω μια ελληνικη εταιρεια δυστυχως μου βγηκεεταιρα και εγω πιαστηκα περαστικα μου
0;το αγορασα εχθες και το μετανιωσα πολυ για τον γιο μου για δωρο χριστουγεννων
0;το ηχειο του ειναι οτι χειροτερο εχω ακουσει παιζει σαν χαλασμενο τρανζιστορακι αποψη μου με 10 15 παραπανω παιρνεις lenovo η samsung
